gene
AKT1
ALK
APC
AR
ARAF
ATM
BRAF
BRCA1
BRCA2
CCND1
CDH1
CDK12
CDK4
CDK6
CDKN2A
CTNNB1
EGFR
ERBB2
ESR1
FGFR1
FGFR2
FGFR3
GATA3
GNA11
GNAQ
HNF1A
HRAS
IDH1
IDH2
KIT
KRAS
MAP2K1
MAP2K2
MET
MLH1
MTOR
MYC
NF1
NFE2L2
NRAS
NTRK1
NTRK3
PDGFRA
PIK3CA
PTEN
RAF1
RET
RHEB
ROS1
SMAD4
SMO
STK11
TERT
TSC1
VHL
