gene
AKT1
AKT2
ALK
APC
AR
ARAF
ARID1A
ATM
ATR
B2M
BAP1
BRAF
BRCA1
BRCA2
BTK
CCND1
CCND2
CCND3
CCNE1
CD274
CDH1
CDK4
CDK6
CDKN2A
CTNNB1
DDR2
DPYD
EGFR
ERBB2
ERRFI1
ESR1
EZH2
FBXW7
FGFR1
FGFR2
FGFR3
FGFR4
FLT3
FOXL2
GATA3
GNA11
GNAQ
GNAS
HNF1A
HRAS
IDH1
IDH2
JAK1
JAK2
JAK3
KDR
KEAP1
KIT
KMT2A
KRAS
MAP2K1
MAP2K2
MAPK1
MET
MLH1
MPL
MSH2
MSH3
MSH6
MTOR
MYC
MYCN
NF1
NF2
NFE2L2
NOTCH1
NPM1
NRAS
NTRK1
PALB2
PBRM1
PDCD1LG2
PDGFRA
PDGFRB
PIK3CA
PIK3R1
PMS2
PTCH1
PTEN
PTPN11
RAD51C
RAF1
RB1
RET
RHEB
RHOA
RIT1
RNF43
ROS1
SDHA
SMAD4
SMO
SPOP
STK11
TERT
TP53
TSC1
TSC2
UGT1A1
VHL
