SKI
TNFRSF14
PRDM16
RPL22
PLEKHG5
CAMTA1
PIK3CD
MTOR
PRDM2
CASP9
SPEN
SDHB
ARHGEF10L
PAX7
ID3
ARID1A
FGR
LCK
SFPQ
THRAP3
CSF3R
MYCL
MPL
MUTYH
TAL1
STIL
CMPK1
CDKN2C
EPS15
JUN
JAK1
FUBP1
PRKACB
BCL10
RPL5
DPYD
RBM15
TRIM33
NRAS
ATP1A1
TENT5C
NOTCH2
ITGA10
BCL9
PDE4DIP
MCL1
ARNT
SETDB1
MLLT11
S100A7
TPM3
CKS1B
MUC1
RIT1
LMNA
PRCC
NTRK1
FCRL4
SDHC
FCGR2B
DDR2
PBX1
PRRX1
ABL2
RNASEL
RNF2
TPR
PTGS2
CDC73
PTPRC
ELF3
PIK3C2B
MDM4
ELK4
SLC45A3
MARK1
H3F3A
PARP1
MTR
RGS7
FH
AKT3
LARP4B
KLF6
GATA3
MLLT10
ZEB1
KIF5B
RET
NCOA4
MAPK8
CCDC6
TET1
PRF1
KAT6B
NUTM2B
BMPR1A
NUTM2A
NUTM2D
PTEN
FAS
CPEB3
CYP2C19
CYP2C8
BLNK
TLX1
NFKB2
SUFU
NT5C2
VTI1A
TCF7L2
GFRA1
SHTN1
FGFR2
MGMT
HRAS
CARS
NUP98
RRM1
LMO1
MYOD1
FANCF
WT1
LMO2
EXT2
CREB3L1
DDB2
CLP1
CTNND1
SDHAF2
FEN1
MEN1
RELA
CCND1
NUMA1
PICALM
EED
FAT3
MRE11
MAML2
BIRC3
BIRC2
GUCY1A2
ATM
DDX10
POU2AF1
SDHD
ZBTB16
PAFAH1B2
KMT2A
DDX6
BCL9L
FOXR1
CBL
ARHGEF12
CHEK1
ETS1
FLI1
KCNJ5
KDM5A
ERC1
CCND2
CHD4
ING4
ZNF384
PTPN6
ETV6
CDKN1B
ETNK1
KRAS
PPFIBP1
ADAMTS20
ARID2
COL2A1
KMT2D
PRPF40B
SMARCD1
ATF1
HOXC13
HOXC11
SMUG1
ERBB3
NACA
NAB2
STAT6
GLI1
DDIT3
CDK4
LRIG3
WIF1
HMGA2
MDM2
PTPRB
BTG1
USP44
CHST11
SH2B3
ALDH2
PTPN11
TBX3
HNF1A
SETD1B
BCL7A
CLIP1
ZCCHC8
HCAR1
NCOR2
EP400
POLE
ZMYM2
LATS2
CDK8
CDX2
FLT3
FLT1
BRCA2
NBEA
LHFPL6
FOXO1
LCP1
RB1
CYSLTR2
