sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MSK10196ACH_MRL0015CH_1_99	MSK10196ACH	MRL0015CH	1	99	1000000	99000000
MSK10196ACH_MRL0015CH_10_90	MSK10196ACH	MRL0015CH	10	90	10000000	90000000
MSK10196ACH_MRL0015CH_25_75	MSK10196ACH	MRL0015CH	25	75	25000000	75000000
MSK10196ACH_MRL0015CH_5_95	MSK10196ACH	MRL0015CH	5	95	5000000	95000000
MSK10196ACH_MRL0015CH_50_50	MSK10196ACH	MRL0015CH	50	50	50000000	50000000
MSK10196ACH_MRL0017CH_1_99	MSK10196ACH	MRL0017CH	1	99	1000000	99000000
MSK10196ACH_MRL0017CH_10_90	MSK10196ACH	MRL0017CH	10	90	10000000	90000000
MSK10196ACH_MRL0017CH_25_75	MSK10196ACH	MRL0017CH	25	75	25000000	75000000
MSK10196ACH_MRL0017CH_5_95	MSK10196ACH	MRL0017CH	5	95	5000000	95000000
MSK10196ACH_MRL0017CH_50_50	MSK10196ACH	MRL0017CH	50	50	50000000	50000000
MSK10196ACH_MRL0018CH_1_99	MSK10196ACH	MRL0018CH	1	99	1000000	99000000
MSK10196ACH_MRL0018CH_10_90	MSK10196ACH	MRL0018CH	10	90	10000000	90000000
MSK10196ACH_MRL0018CH_25_75	MSK10196ACH	MRL0018CH	25	75	25000000	75000000
MSK10196ACH_MRL0018CH_5_95	MSK10196ACH	MRL0018CH	5	95	5000000	95000000
MSK10196ACH_MRL0018CH_50_50	MSK10196ACH	MRL0018CH	50	50	50000000	50000000
MSK10196ACH_MRL0028CH_1_99	MSK10196ACH	MRL0028CH	1	99	1000000	99000000
MSK10196ACH_MRL0028CH_10_90	MSK10196ACH	MRL0028CH	10	90	10000000	90000000
MSK10196ACH_MRL0028CH_25_75	MSK10196ACH	MRL0028CH	25	75	25000000	75000000
MSK10196ACH_MRL0028CH_5_95	MSK10196ACH	MRL0028CH	5	95	5000000	95000000
MSK10196ACH_MRL0028CH_50_50	MSK10196ACH	MRL0028CH	50	50	50000000	50000000
MSK10196ACH_MRL0056CH_1_99	MSK10196ACH	MRL0056CH	1	99	1000000	99000000
MSK10196ACH_MRL0056CH_10_90	MSK10196ACH	MRL0056CH	10	90	10000000	90000000
MSK10196ACH_MRL0056CH_25_75	MSK10196ACH	MRL0056CH	25	75	25000000	75000000
MSK10196ACH_MRL0056CH_5_95	MSK10196ACH	MRL0056CH	5	95	5000000	95000000
MSK10196ACH_MRL0056CH_50_50	MSK10196ACH	MRL0056CH	50	50	50000000	50000000
MSK10196ACH_MRL0057CH_1_99	MSK10196ACH	MRL0057CH	1	99	1000000	99000000
MSK10196ACH_MRL0057CH_10_90	MSK10196ACH	MRL0057CH	10	90	10000000	90000000
MSK10196ACH_MRL0057CH_25_75	MSK10196ACH	MRL0057CH	25	75	25000000	75000000
MSK10196ACH_MRL0057CH_5_95	MSK10196ACH	MRL0057CH	5	95	5000000	95000000
MSK10196ACH_MRL0057CH_50_50	MSK10196ACH	MRL0057CH	50	50	50000000	50000000
MSK10196ACH_MRL0058CH_1_99	MSK10196ACH	MRL0058CH	1	99	1000000	99000000
MSK10196ACH_MRL0058CH_10_90	MSK10196ACH	MRL0058CH	10	90	10000000	90000000
MSK10196ACH_MRL0058CH_25_75	MSK10196ACH	MRL0058CH	25	75	25000000	75000000
MSK10196ACH_MRL0058CH_5_95	MSK10196ACH	MRL0058CH	5	95	5000000	95000000
MSK10196ACH_MRL0058CH_50_50	MSK10196ACH	MRL0058CH	50	50	50000000	50000000
MSK10196ACH_MRL0059CH_1_99	MSK10196ACH	MRL0059CH	1	99	1000000	99000000
MSK10196ACH_MRL0059CH_10_90	MSK10196ACH	MRL0059CH	10	90	10000000	90000000
MSK10196ACH_MRL0059CH_25_75	MSK10196ACH	MRL0059CH	25	75	25000000	75000000
MSK10196ACH_MRL0059CH_5_95	MSK10196ACH	MRL0059CH	5	95	5000000	95000000
MSK10196ACH_MRL0059CH_50_50	MSK10196ACH	MRL0059CH	50	50	50000000	50000000
MSK10196ACH_MRL0064CH_1_99	MSK10196ACH	MRL0064CH	1	99	1000000	99000000
MSK10196ACH_MRL0064CH_10_90	MSK10196ACH	MRL0064CH	10	90	10000000	90000000
MSK10196ACH_MRL0064CH_25_75	MSK10196ACH	MRL0064CH	25	75	25000000	75000000
MSK10196ACH_MRL0064CH_5_95	MSK10196ACH	MRL0064CH	5	95	5000000	95000000
MSK10196ACH_MRL0064CH_50_50	MSK10196ACH	MRL0064CH	50	50	50000000	50000000
MSK10196ACH_MRL0066CH_1_99	MSK10196ACH	MRL0066CH	1	99	1000000	99000000
MSK10196ACH_MRL0066CH_10_90	MSK10196ACH	MRL0066CH	10	90	10000000	90000000
MSK10196ACH_MRL0066CH_25_75	MSK10196ACH	MRL0066CH	25	75	25000000	75000000
MSK10196ACH_MRL0066CH_5_95	MSK10196ACH	MRL0066CH	5	95	5000000	95000000
MSK10196ACH_MRL0066CH_50_50	MSK10196ACH	MRL0066CH	50	50	50000000	50000000
MSK10196ACH_MRL0143CH_1_99	MSK10196ACH	MRL0143CH	1	99	1000000	99000000
MSK10196ACH_MRL0143CH_10_90	MSK10196ACH	MRL0143CH	10	90	10000000	90000000
MSK10196ACH_MRL0143CH_25_75	MSK10196ACH	MRL0143CH	25	75	25000000	75000000
MSK10196ACH_MRL0143CH_5_95	MSK10196ACH	MRL0143CH	5	95	5000000	95000000
MSK10196ACH_MRL0143CH_50_50	MSK10196ACH	MRL0143CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563294CH1_1_99	MSK10196ACH	SDBBW044216563294CH1	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563294CH1_10_90	MSK10196ACH	SDBBW044216563294CH1	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563294CH1_25_75	MSK10196ACH	SDBBW044216563294CH1	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563294CH1_5_95	MSK10196ACH	SDBBW044216563294CH1	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563294CH1_50_50	MSK10196ACH	SDBBW044216563294CH1	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563299CH_1_99	MSK10196ACH	SDBBW044216563299CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563299CH_10_90	MSK10196ACH	SDBBW044216563299CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563299CH_25_75	MSK10196ACH	SDBBW044216563299CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563299CH_5_95	MSK10196ACH	SDBBW044216563299CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563299CH_50_50	MSK10196ACH	SDBBW044216563299CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563300CH_1_99	MSK10196ACH	SDBBW044216563300CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563300CH_10_90	MSK10196ACH	SDBBW044216563300CH	10	90	10000000	90000000
