sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MSK11198ACH_SDBBW044216563367CH_5_95	MSK11198ACH	SDBBW044216563367CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563367CH_50_50	MSK11198ACH	SDBBW044216563367CH	50	50	50000000	50000000
MSK11198ACH_SDBBW044216563368CH_1_99	MSK11198ACH	SDBBW044216563368CH	1	99	1000000	99000000
MSK11198ACH_SDBBW044216563368CH_10_90	MSK11198ACH	SDBBW044216563368CH	10	90	10000000	90000000
MSK11198ACH_SDBBW044216563368CH_25_75	MSK11198ACH	SDBBW044216563368CH	25	75	25000000	75000000
MSK11198ACH_SDBBW044216563368CH_5_95	MSK11198ACH	SDBBW044216563368CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563368CH_50_50	MSK11198ACH	SDBBW044216563368CH	50	50	50000000	50000000
MSK11198ACH_SDBBW044216563370CH_1_99	MSK11198ACH	SDBBW044216563370CH	1	99	1000000	99000000
MSK11198ACH_SDBBW044216563370CH_10_90	MSK11198ACH	SDBBW044216563370CH	10	90	10000000	90000000
MSK11198ACH_SDBBW044216563370CH_25_75	MSK11198ACH	SDBBW044216563370CH	25	75	25000000	75000000
MSK11198ACH_SDBBW044216563370CH_5_95	MSK11198ACH	SDBBW044216563370CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563370CH_50_50	MSK11198ACH	SDBBW044216563370CH	50	50	50000000	50000000
MSK11198ACH_SDBBW044216563371CH_1_99	MSK11198ACH	SDBBW044216563371CH	1	99	1000000	99000000
MSK11198ACH_SDBBW044216563371CH_10_90	MSK11198ACH	SDBBW044216563371CH	10	90	10000000	90000000
MSK11198ACH_SDBBW044216563371CH_25_75	MSK11198ACH	SDBBW044216563371CH	25	75	25000000	75000000
MSK11198ACH_SDBBW044216563371CH_5_95	MSK11198ACH	SDBBW044216563371CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563371CH_50_50	MSK11198ACH	SDBBW044216563371CH	50	50	50000000	50000000
MSK11198ACH_SDBBW044216563375CH_1_99	MSK11198ACH	SDBBW044216563375CH	1	99	1000000	99000000
MSK11198ACH_SDBBW044216563375CH_10_90	MSK11198ACH	SDBBW044216563375CH	10	90	10000000	90000000
MSK11198ACH_SDBBW044216563375CH_25_75	MSK11198ACH	SDBBW044216563375CH	25	75	25000000	75000000
MSK11198ACH_SDBBW044216563375CH_5_95	MSK11198ACH	SDBBW044216563375CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563375CH_50_50	MSK11198ACH	SDBBW044216563375CH	50	50	50000000	50000000
MSK11198ACH_SDBBW044216563376CH_1_99	MSK11198ACH	SDBBW044216563376CH	1	99	1000000	99000000
MSK11198ACH_SDBBW044216563376CH_10_90	MSK11198ACH	SDBBW044216563376CH	10	90	10000000	90000000
MSK11198ACH_SDBBW044216563376CH_25_75	MSK11198ACH	SDBBW044216563376CH	25	75	25000000	75000000
MSK11198ACH_SDBBW044216563376CH_5_95	MSK11198ACH	SDBBW044216563376CH	5	95	5000000	95000000
MSK11198ACH_SDBBW044216563376CH_50_50	MSK11198ACH	SDBBW044216563376CH	50	50	50000000	50000000
MSK11201ACH_MRL0001CH_1_99	MSK11201ACH	MRL0001CH	1	99	1000000	99000000
MSK11201ACH_MRL0001CH_10_90	MSK11201ACH	MRL0001CH	10	90	10000000	90000000
MSK11201ACH_MRL0001CH_25_75	MSK11201ACH	MRL0001CH	25	75	25000000	75000000
MSK11201ACH_MRL0001CH_5_95	MSK11201ACH	MRL0001CH	5	95	5000000	95000000
MSK11201ACH_MRL0001CH_50_50	MSK11201ACH	MRL0001CH	50	50	50000000	50000000
MSK11201ACH_MRL0002CH_1_99	MSK11201ACH	MRL0002CH	1	99	1000000	99000000
MSK11201ACH_MRL0002CH_10_90	MSK11201ACH	MRL0002CH	10	90	10000000	90000000
MSK11201ACH_MRL0002CH_25_75	MSK11201ACH	MRL0002CH	25	75	25000000	75000000
MSK11201ACH_MRL0002CH_5_95	MSK11201ACH	MRL0002CH	5	95	5000000	95000000
MSK11201ACH_MRL0002CH_50_50	MSK11201ACH	MRL0002CH	50	50	50000000	50000000
MSK11201ACH_MRL0003CH_1_99	MSK11201ACH	MRL0003CH	1	99	1000000	99000000
MSK11201ACH_MRL0003CH_10_90	MSK11201ACH	MRL0003CH	10	90	10000000	90000000
MSK11201ACH_MRL0003CH_25_75	MSK11201ACH	MRL0003CH	25	75	25000000	75000000
MSK11201ACH_MRL0003CH_5_95	MSK11201ACH	MRL0003CH	5	95	5000000	95000000
MSK11201ACH_MRL0003CH_50_50	MSK11201ACH	MRL0003CH	50	50	50000000	50000000
MSK11201ACH_MRL0004CH_1_99	MSK11201ACH	MRL0004CH	1	99	1000000	99000000
MSK11201ACH_MRL0004CH_10_90	MSK11201ACH	MRL0004CH	10	90	10000000	90000000
MSK11201ACH_MRL0004CH_25_75	MSK11201ACH	MRL0004CH	25	75	25000000	75000000
MSK11201ACH_MRL0004CH_5_95	MSK11201ACH	MRL0004CH	5	95	5000000	95000000
MSK11201ACH_MRL0004CH_50_50	MSK11201ACH	MRL0004CH	50	50	50000000	50000000
MSK11201ACH_MRL0005CH_1_99	MSK11201ACH	MRL0005CH	1	99	1000000	99000000
MSK11201ACH_MRL0005CH_10_90	MSK11201ACH	MRL0005CH	10	90	10000000	90000000
MSK11201ACH_MRL0005CH_25_75	MSK11201ACH	MRL0005CH	25	75	25000000	75000000
MSK11201ACH_MRL0005CH_5_95	MSK11201ACH	MRL0005CH	5	95	5000000	95000000
MSK11201ACH_MRL0005CH_50_50	MSK11201ACH	MRL0005CH	50	50	50000000	50000000
MSK11201ACH_MRL0006CH_1_99	MSK11201ACH	MRL0006CH	1	99	1000000	99000000
MSK11201ACH_MRL0006CH_10_90	MSK11201ACH	MRL0006CH	10	90	10000000	90000000
MSK11201ACH_MRL0006CH_25_75	MSK11201ACH	MRL0006CH	25	75	25000000	75000000
MSK11201ACH_MRL0006CH_5_95	MSK11201ACH	MRL0006CH	5	95	5000000	95000000
MSK11201ACH_MRL0006CH_50_50	MSK11201ACH	MRL0006CH	50	50	50000000	50000000
MSK11201ACH_MRL0008CH_1_99	MSK11201ACH	MRL0008CH	1	99	1000000	99000000
MSK11201ACH_MRL0008CH_10_90	MSK11201ACH	MRL0008CH	10	90	10000000	90000000
MSK11201ACH_MRL0008CH_25_75	MSK11201ACH	MRL0008CH	25	75	25000000	75000000
MSK11201ACH_MRL0008CH_5_95	MSK11201ACH	MRL0008CH	5	95	5000000	95000000
MSK11201ACH_MRL0008CH_50_50	MSK11201ACH	MRL0008CH	50	50	50000000	50000000
MSK11201ACH_MRL0010CH_1_99	MSK11201ACH	MRL0010CH	1	99	1000000	99000000
MSK11201ACH_MRL0010CH_10_90	MSK11201ACH	MRL0010CH	10	90	10000000	90000000
MSK11201ACH_MRL0010CH_25_75	MSK11201ACH	MRL0010CH	25	75	25000000	75000000
MSK11201ACH_MRL0010CH_5_95	MSK11201ACH	MRL0010CH	5	95	5000000	95000000
MSK11201ACH_MRL0010CH_50_50	MSK11201ACH	MRL0010CH	50	50	50000000	50000000
MSK11201ACH_MRL0012CH_1_99	MSK11201ACH	MRL0012CH	1	99	1000000	99000000
MSK11201ACH_MRL0012CH_10_90	MSK11201ACH	MRL0012CH	10	90	10000000	90000000
MSK11201ACH_MRL0012CH_25_75	MSK11201ACH	MRL0012CH	25	75	25000000	75000000
MSK11201ACH_MRL0012CH_5_95	MSK11201ACH	MRL0012CH	5	95	5000000	95000000
MSK11201ACH_MRL0012CH_50_50	MSK11201ACH	MRL0012CH	50	50	50000000	50000000
MSK11201ACH_MRL0013CH_1_99	MSK11201ACH	MRL0013CH	1	99	1000000	99000000
MSK11201ACH_MRL0013CH_10_90	MSK11201ACH	MRL0013CH	10	90	10000000	90000000
MSK11201ACH_MRL0013CH_25_75	MSK11201ACH	MRL0013CH	25	75	25000000	75000000
MSK11201ACH_MRL0013CH_5_95	MSK11201ACH	MRL0013CH	5	95	5000000	95000000
MSK11201ACH_MRL0013CH_50_50	MSK11201ACH	MRL0013CH	50	50	50000000	50000000
MSK11201ACH_MRL0014CH_1_99	MSK11201ACH	MRL0014CH	1	99	1000000	99000000
MSK11201ACH_MRL0014CH_10_90	MSK11201ACH	MRL0014CH	10	90	10000000	90000000
MSK11201ACH_MRL0014CH_25_75	MSK11201ACH	MRL0014CH	25	75	25000000	75000000
MSK11201ACH_MRL0014CH_5_95	MSK11201ACH	MRL0014CH	5	95	5000000	95000000
MSK11201ACH_MRL0014CH_50_50	MSK11201ACH	MRL0014CH	50	50	50000000	50000000
MSK11201ACH_MRL0015CH_1_99	MSK11201ACH	MRL0015CH	1	99	1000000	99000000
MSK11201ACH_MRL0015CH_10_90	MSK11201ACH	MRL0015CH	10	90	10000000	90000000
MSK11201ACH_MRL0015CH_25_75	MSK11201ACH	MRL0015CH	25	75	25000000	75000000
MSK11201ACH_MRL0015CH_5_95	MSK11201ACH	MRL0015CH	5	95	5000000	95000000
MSK11201ACH_MRL0015CH_50_50	MSK11201ACH	MRL0015CH	50	50	50000000	50000000
MSK11201ACH_MRL0017CH_1_99	MSK11201ACH	MRL0017CH	1	99	1000000	99000000
MSK11201ACH_MRL0017CH_10_90	MSK11201ACH	MRL0017CH	10	90	10000000	90000000
MSK11201ACH_MRL0017CH_25_75	MSK11201ACH	MRL0017CH	25	75	25000000	75000000
MSK11201ACH_MRL0017CH_5_95	MSK11201ACH	MRL0017CH	5	95	5000000	95000000
MSK11201ACH_MRL0017CH_50_50	MSK11201ACH	MRL0017CH	50	50	50000000	50000000
MSK11201ACH_MRL0018CH_1_99	MSK11201ACH	MRL0018CH	1	99	1000000	99000000
MSK11201ACH_MRL0018CH_10_90	MSK11201ACH	MRL0018CH	10	90	10000000	90000000
MSK11201ACH_MRL0018CH_25_75	MSK11201ACH	MRL0018CH	25	75	25000000	75000000
MSK11201ACH_MRL0018CH_5_95	MSK11201ACH	MRL0018CH	5	95	5000000	95000000
MSK11201ACH_MRL0018CH_50_50	MSK11201ACH	MRL0018CH	50	50	50000000	50000000
MSK11201ACH_MRL0028CH_1_99	MSK11201ACH	MRL0028CH	1	99	1000000	99000000
MSK11201ACH_MRL0028CH_10_90	MSK11201ACH	MRL0028CH	10	90	10000000	90000000
MSK11201ACH_MRL0028CH_25_75	MSK11201ACH	MRL0028CH	25	75	25000000	75000000
MSK11201ACH_MRL0028CH_5_95	MSK11201ACH	MRL0028CH	5	95	5000000	95000000
MSK11201ACH_MRL0028CH_50_50	MSK11201ACH	MRL0028CH	50	50	50000000	50000000
MSK11201ACH_MRL0056CH_1_99	MSK11201ACH	MRL0056CH	1	99	1000000	99000000
MSK11201ACH_MRL0056CH_10_90	MSK11201ACH	MRL0056CH	10	90	10000000	90000000
MSK11201ACH_MRL0056CH_25_75	MSK11201ACH	MRL0056CH	25	75	25000000	75000000
MSK11201ACH_MRL0056CH_5_95	MSK11201ACH	MRL0056CH	5	95	5000000	95000000
MSK11201ACH_MRL0056CH_50_50	MSK11201ACH	MRL0056CH	50	50	50000000	50000000
MSK11201ACH_MRL0057CH_1_99	MSK11201ACH	MRL0057CH	1	99	1000000	99000000
MSK11201ACH_MRL0057CH_10_90	MSK11201ACH	MRL0057CH	10	90	10000000	90000000
MSK11201ACH_MRL0057CH_25_75	MSK11201ACH	MRL0057CH	25	75	25000000	75000000
MSK11201ACH_MRL0057CH_5_95	MSK11201ACH	MRL0057CH	5	95	5000000	95000000
MSK11201ACH_MRL0057CH_50_50	MSK11201ACH	MRL0057CH	50	50	50000000	50000000
MSK11201ACH_MRL0058CH_1_99	MSK11201ACH	MRL0058CH	1	99	1000000	99000000
MSK11201ACH_MRL0058CH_10_90	MSK11201ACH	MRL0058CH	10	90	10000000	90000000
MSK11201ACH_MRL0058CH_25_75	MSK11201ACH	MRL0058CH	25	75	25000000	75000000
MSK11201ACH_MRL0058CH_5_95	MSK11201ACH	MRL0058CH	5	95	5000000	95000000
MSK11201ACH_MRL0058CH_50_50	MSK11201ACH	MRL0058CH	50	50	50000000	50000000
MSK11201ACH_MRL0059CH_1_99	MSK11201ACH	MRL0059CH	1	99	1000000	99000000
MSK11201ACH_MRL0059CH_10_90	MSK11201ACH	MRL0059CH	10	90	10000000	90000000
MSK11201ACH_MRL0059CH_25_75	MSK11201ACH	MRL0059CH	25	75	25000000	75000000
MSK11201ACH_MRL0059CH_5_95	MSK11201ACH	MRL0059CH	5	95	5000000	95000000
MSK11201ACH_MRL0059CH_50_50	MSK11201ACH	MRL0059CH	50	50	50000000	50000000
MSK11201ACH_MRL0064CH_1_99	MSK11201ACH	MRL0064CH	1	99	1000000	99000000
MSK11201ACH_MRL0064CH_10_90	MSK11201ACH	MRL0064CH	10	90	10000000	90000000
MSK11201ACH_MRL0064CH_25_75	MSK11201ACH	MRL0064CH	25	75	25000000	75000000
MSK11201ACH_MRL0064CH_5_95	MSK11201ACH	MRL0064CH	5	95	5000000	95000000
MSK11201ACH_MRL0064CH_50_50	MSK11201ACH	MRL0064CH	50	50	50000000	50000000
MSK11201ACH_MRL0066CH_1_99	MSK11201ACH	MRL0066CH	1	99	1000000	99000000
MSK11201ACH_MRL0066CH_10_90	MSK11201ACH	MRL0066CH	10	90	10000000	90000000
MSK11201ACH_MRL0066CH_25_75	MSK11201ACH	MRL0066CH	25	75	25000000	75000000
MSK11201ACH_MRL0066CH_5_95	MSK11201ACH	MRL0066CH	5	95	5000000	95000000
MSK11201ACH_MRL0066CH_50_50	MSK11201ACH	MRL0066CH	50	50	50000000	50000000
MSK11201ACH_MRL0143CH_1_99	MSK11201ACH	MRL0143CH	1	99	1000000	99000000
MSK11201ACH_MRL0143CH_10_90	MSK11201ACH	MRL0143CH	10	90	10000000	90000000
MSK11201ACH_MRL0143CH_25_75	MSK11201ACH	MRL0143CH	25	75	25000000	75000000
MSK11201ACH_MRL0143CH_5_95	MSK11201ACH	MRL0143CH	5	95	5000000	95000000
MSK11201ACH_MRL0143CH_50_50	MSK11201ACH	MRL0143CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563294CH1_1_99	MSK11201ACH	SDBBW044216563294CH1	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563294CH1_10_90	MSK11201ACH	SDBBW044216563294CH1	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563294CH1_25_75	MSK11201ACH	SDBBW044216563294CH1	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563294CH1_5_95	MSK11201ACH	SDBBW044216563294CH1	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563294CH1_50_50	MSK11201ACH	SDBBW044216563294CH1	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563299CH_1_99	MSK11201ACH	SDBBW044216563299CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563299CH_10_90	MSK11201ACH	SDBBW044216563299CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563299CH_25_75	MSK11201ACH	SDBBW044216563299CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563299CH_5_95	MSK11201ACH	SDBBW044216563299CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563299CH_50_50	MSK11201ACH	SDBBW044216563299CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563300CH_1_99	MSK11201ACH	SDBBW044216563300CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563300CH_10_90	MSK11201ACH	SDBBW044216563300CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563300CH_25_75	MSK11201ACH	SDBBW044216563300CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563300CH_5_95	MSK11201ACH	SDBBW044216563300CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563300CH_50_50	MSK11201ACH	SDBBW044216563300CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563303CH_1_99	MSK11201ACH	SDBBW044216563303CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563303CH_10_90	MSK11201ACH	SDBBW044216563303CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563303CH_25_75	MSK11201ACH	SDBBW044216563303CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563303CH_5_95	MSK11201ACH	SDBBW044216563303CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563303CH_50_50	MSK11201ACH	SDBBW044216563303CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563304CH_1_99	MSK11201ACH	SDBBW044216563304CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563304CH_10_90	MSK11201ACH	SDBBW044216563304CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563304CH_25_75	MSK11201ACH	SDBBW044216563304CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563304CH_5_95	MSK11201ACH	SDBBW044216563304CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563304CH_50_50	MSK11201ACH	SDBBW044216563304CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563305CH_1_99	MSK11201ACH	SDBBW044216563305CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563305CH_10_90	MSK11201ACH	SDBBW044216563305CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563305CH_25_75	MSK11201ACH	SDBBW044216563305CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563305CH_5_95	MSK11201ACH	SDBBW044216563305CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563305CH_50_50	MSK11201ACH	SDBBW044216563305CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563328CH_1_99	MSK11201ACH	SDBBW044216563328CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563328CH_10_90	MSK11201ACH	SDBBW044216563328CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563328CH_25_75	MSK11201ACH	SDBBW044216563328CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563328CH_5_95	MSK11201ACH	SDBBW044216563328CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563328CH_50_50	MSK11201ACH	SDBBW044216563328CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563329CH_1_99	MSK11201ACH	SDBBW044216563329CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563329CH_10_90	MSK11201ACH	SDBBW044216563329CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563329CH_25_75	MSK11201ACH	SDBBW044216563329CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563329CH_5_95	MSK11201ACH	SDBBW044216563329CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563329CH_50_50	MSK11201ACH	SDBBW044216563329CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563330CH_1_99	MSK11201ACH	SDBBW044216563330CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563330CH_10_90	MSK11201ACH	SDBBW044216563330CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563330CH_25_75	MSK11201ACH	SDBBW044216563330CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563330CH_5_95	MSK11201ACH	SDBBW044216563330CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563330CH_50_50	MSK11201ACH	SDBBW044216563330CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563335CH_1_99	MSK11201ACH	SDBBW044216563335CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563335CH_10_90	MSK11201ACH	SDBBW044216563335CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563335CH_25_75	MSK11201ACH	SDBBW044216563335CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563335CH_5_95	MSK11201ACH	SDBBW044216563335CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563335CH_50_50	MSK11201ACH	SDBBW044216563335CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563342CH_1_99	MSK11201ACH	SDBBW044216563342CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563342CH_10_90	MSK11201ACH	SDBBW044216563342CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563342CH_25_75	MSK11201ACH	SDBBW044216563342CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563342CH_5_95	MSK11201ACH	SDBBW044216563342CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563342CH_50_50	MSK11201ACH	SDBBW044216563342CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563343CH_1_99	MSK11201ACH	SDBBW044216563343CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563343CH_10_90	MSK11201ACH	SDBBW044216563343CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563343CH_25_75	MSK11201ACH	SDBBW044216563343CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563343CH_5_95	MSK11201ACH	SDBBW044216563343CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563343CH_50_50	MSK11201ACH	SDBBW044216563343CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563344CH_1_99	MSK11201ACH	SDBBW044216563344CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563344CH_10_90	MSK11201ACH	SDBBW044216563344CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563344CH_25_75	MSK11201ACH	SDBBW044216563344CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563344CH_5_95	MSK11201ACH	SDBBW044216563344CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563344CH_50_50	MSK11201ACH	SDBBW044216563344CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563354CH_1_99	MSK11201ACH	SDBBW044216563354CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563354CH_10_90	MSK11201ACH	SDBBW044216563354CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563354CH_25_75	MSK11201ACH	SDBBW044216563354CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563354CH_5_95	MSK11201ACH	SDBBW044216563354CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563354CH_50_50	MSK11201ACH	SDBBW044216563354CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563359CH_1_99	MSK11201ACH	SDBBW044216563359CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563359CH_10_90	MSK11201ACH	SDBBW044216563359CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563359CH_25_75	MSK11201ACH	SDBBW044216563359CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563359CH_5_95	MSK11201ACH	SDBBW044216563359CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563359CH_50_50	MSK11201ACH	SDBBW044216563359CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563361CH_1_99	MSK11201ACH	SDBBW044216563361CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563361CH_10_90	MSK11201ACH	SDBBW044216563361CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563361CH_25_75	MSK11201ACH	SDBBW044216563361CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563361CH_5_95	MSK11201ACH	SDBBW044216563361CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563361CH_50_50	MSK11201ACH	SDBBW044216563361CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563364CH_1_99	MSK11201ACH	SDBBW044216563364CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563364CH_10_90	MSK11201ACH	SDBBW044216563364CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563364CH_25_75	MSK11201ACH	SDBBW044216563364CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563364CH_5_95	MSK11201ACH	SDBBW044216563364CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563364CH_50_50	MSK11201ACH	SDBBW044216563364CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563365CH_1_99	MSK11201ACH	SDBBW044216563365CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563365CH_10_90	MSK11201ACH	SDBBW044216563365CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563365CH_25_75	MSK11201ACH	SDBBW044216563365CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563365CH_5_95	MSK11201ACH	SDBBW044216563365CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563365CH_50_50	MSK11201ACH	SDBBW044216563365CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563366CH_1_99	MSK11201ACH	SDBBW044216563366CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563366CH_10_90	MSK11201ACH	SDBBW044216563366CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563366CH_25_75	MSK11201ACH	SDBBW044216563366CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563366CH_5_95	MSK11201ACH	SDBBW044216563366CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563366CH_50_50	MSK11201ACH	SDBBW044216563366CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563367CH_1_99	MSK11201ACH	SDBBW044216563367CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563367CH_10_90	MSK11201ACH	SDBBW044216563367CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563367CH_25_75	MSK11201ACH	SDBBW044216563367CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563367CH_5_95	MSK11201ACH	SDBBW044216563367CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563367CH_50_50	MSK11201ACH	SDBBW044216563367CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563368CH_1_99	MSK11201ACH	SDBBW044216563368CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563368CH_10_90	MSK11201ACH	SDBBW044216563368CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563368CH_25_75	MSK11201ACH	SDBBW044216563368CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563368CH_5_95	MSK11201ACH	SDBBW044216563368CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563368CH_50_50	MSK11201ACH	SDBBW044216563368CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563370CH_1_99	MSK11201ACH	SDBBW044216563370CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563370CH_10_90	MSK11201ACH	SDBBW044216563370CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563370CH_25_75	MSK11201ACH	SDBBW044216563370CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563370CH_5_95	MSK11201ACH	SDBBW044216563370CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563370CH_50_50	MSK11201ACH	SDBBW044216563370CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563371CH_1_99	MSK11201ACH	SDBBW044216563371CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563371CH_10_90	MSK11201ACH	SDBBW044216563371CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563371CH_25_75	MSK11201ACH	SDBBW044216563371CH	25	75	25000000	75000000
MSK11201ACH_SDBBW044216563371CH_5_95	MSK11201ACH	SDBBW044216563371CH	5	95	5000000	95000000
MSK11201ACH_SDBBW044216563371CH_50_50	MSK11201ACH	SDBBW044216563371CH	50	50	50000000	50000000
MSK11201ACH_SDBBW044216563375CH_1_99	MSK11201ACH	SDBBW044216563375CH	1	99	1000000	99000000
MSK11201ACH_SDBBW044216563375CH_10_90	MSK11201ACH	SDBBW044216563375CH	10	90	10000000	90000000
MSK11201ACH_SDBBW044216563375CH_25_75	MSK11201ACH	SDBBW044216563375CH	25	75	25000000	75000000
